Категорія: Усі категорії

Тиждень,Українське кіно: (Україна),український кінематограф: (Україна),українські фільми: (Україна),українське кіно: (Україна),сучасний український кінематограф: (Україна)
2022-01-02,0,0,21,0,0
2022-01-09,0,0,19,3,2
2022-01-16,0,0,18,4,0
2022-01-23,2,0,16,4,3
2022-01-30,0,1,11,8,3
2022-02-06,0,2,18,10,0
2022-02-13,0,0,17,6,1
2022-02-20,0,2,16,4,0
2022-02-27,0,0,37,3,0
2022-03-06,0,3,49,9,0
2022-03-13,0,0,47,10,2
2022-03-20,0,1,59,11,1
2022-03-27,0,0,56,8,0
2022-04-03,0,2,67,12,0
2022-04-10,0,0,60,13,0
2022-04-17,1,0,53,11,0
2022-04-24,0,0,53,12,0
2022-05-01,0,0,46,12,1
2022-05-08,0,0,42,8,0
2022-05-15,0,1,44,10,0
2022-05-22,0,0,46,11,0
2022-05-29,0,0,45,6,0
2022-06-05,2,0,39,6,0
2022-06-12,0,3,45,7,0
2022-06-19,0,2,49,7,3
2022-06-26,0,0,34,4,0
2022-07-03,0,3,40,7,0
2022-07-10,3,0,53,7,0
2022-07-17,0,2,46,7,0
2022-07-24,5,2,46,9,0
2022-07-31,0,0,54,6,0
2022-08-07,0,0,54,8,0
2022-08-14,0,0,50,11,0
2022-08-21,0,2,50,11,0
2022-08-28,0,3,43,12,0
2022-09-04,0,1,45,7,0
2022-09-11,0,0,51,9,1
2022-09-18,2,0,48,10,0
2022-09-25,0,0,44,7,0
2022-10-02,0,0,54,13,0
2022-10-09,0,1,54,11,2
2022-10-16,0,2,40,4,0
2022-10-23,0,0,61,10,0
2022-10-30,0,0,54,11,0
2022-11-06,0,0,50,13,0
2022-11-13,0,2,54,9,0
2022-11-20,0,0,77,15,2
2022-11-27,0,0,74,14,1
2022-12-04,0,2,73,11,0
2022-12-11,0,0,80,12,0
2022-12-18,0,2,71,16,0
2022-12-25,0,0,90,11,0
2023-01-01,0,0,100,10,0
2023-01-08,0,0,92,24,0
2023-01-15,2,0,91,19,0
2023-01-22,0,0,92,18,0
2023-01-29,0,0,67,13,0
2023-02-05,2,3,70,10,0
2023-02-12,0,0,65,15,0
2023-02-19,2,0,60,18,3
2023-02-26,0,0,59,21,0
2023-03-05,0,2,63,15,0
2023-03-12,0,0,46,19,0
2023-03-19,0,2,55,13,2
2023-03-26,3,4,51,14,0
2023-04-02,6,0,42,11,0
2023-04-09,6,0,49,7,0
2023-04-16,7,1,49,14,1
2023-04-23,3,0,52,12,0
2023-04-30,5,0,49,9,0
2023-05-07,4,0,52,9,0
2023-05-14,6,0,43,13,2
2023-05-21,5,1,47,9,2
2023-05-28,4,3,38,9,2
2023-06-04,7,2,43,10,0
2023-06-11,3,0,57,12,2
2023-06-18,4,0,49,6,0
2023-06-25,4,2,44,6,0
2023-07-02,5,0,51,6,0
2023-07-09,4,0,52,6,0
2023-07-16,4,0,49,7,0
2023-07-23,5,6,52,11,0
2023-07-30,6,0,49,10,0
2023-08-06,3,0,48,12,0
2023-08-13,7,1,45,6,0
2023-08-20,5,0,43,6,0
2023-08-27,2,0,55,11,0
2023-09-03,9,0,47,10,0
2023-09-10,4,2,55,8,0
2023-09-17,5,0,41,8,0
2023-09-24,6,3,45,4,0
2023-10-01,6,2,39,9,0
2023-10-08,1,0,44,10,0
2023-10-15,6,0,50,8,2
2023-10-22,3,7,56,11,0
2023-10-29,6,0,52,10,0
2023-11-05,5,0,58,8,1
2023-11-12,3,0,56,6,4
2023-11-19,3,1,49,8,0
